Country,Sex,Method,ME_e0,MAE_e0
Australia,male,LC,-3.063,3.063
Australia,male,LM,-1.342,1.342
Australia,male,BMS,-3.34,3.34
Australia,male,HU,-1.989,1.989
Australia,male,DJT,-1.072,1.073
Australia,female,LC,-1.831,1.831
Australia,female,LM,-0.619,0.619
Australia,female,BMS,-2.075,2.075
Australia,female,HU,-1.232,1.232
Australia,female,DJT,-0.33,0.37
Canada,male,LC,-1.863,1.863
Canada,male,LM,-0.725,0.725
Canada,male,BMS,-2.026,2.026
Canada,male,HU,-1.486,1.486
Canada,male,DJT,-0.525,0.572
Canada,female,LC,-0.666,0.666
Canada,female,LM,2.285,2.285
Canada,female,BMS,0.419,0.419
Canada,female,HU,-0.64,0.64
Canada,female,DJT,0.649,0.649
Denmark,male,LC,-0.537,0.537
Denmark,male,LM,-11.012,11.012
Denmark,male,BMS,-0.445,0.448
Denmark,male,HU,-0.958,0.97
Denmark,male,DJT,-0.803,0.855
Denmark,female,LC,-0.51,0.51
Denmark,female,LM,2.736,2.736
Denmark,female,BMS,-0.659,0.659
Denmark,female,HU,-0.08,0.316
Denmark,female,DJT,0.747,0.747
England,male,LC,-2.27,2.27
England,male,LM,-0.978,0.978
England,male,BMS,-0.656,0.656
England,male,HU,-1.576,1.576
England,male,DJT,-0.672,0.707
England,female,LC,-0.997,0.997
England,female,LM,-0.277,0.277
England,female,BMS,-0.433,0.433
England,female,HU,-1.051,1.051
England,female,DJT,0.039,0.115
Finland,male,LC,-2.265,2.265
Finland,male,LM,-0.595,0.619
Finland,male,BMS,-0.352,0.408
Finland,male,HU,-1.314,1.314
Finland,male,DJT,-0.201,0.52
Finland,female,LC,-1.681,1.681
Finland,female,LM,0.517,0.517
Finland,female,BMS,0.412,0.423
Finland,female,HU,-0.419,0.57
Finland,female,DJT,0.797,0.797
France,male,LC,-2.413,2.413
France,male,LM,-0.979,0.979
France,male,BMS,-0.518,0.526
France,male,HU,-1.862,1.862
France,male,DJT,-0.769,0.785
France,female,LC,-1.965,1.965
France,female,LM,-0.261,0.261
France,female,BMS,-0.017,0.122
France,female,HU,-1.577,1.577
France,female,DJT,-0.146,0.163
Italy,male,LC,-2.025,2.025
Italy,male,LM,-1.185,1.185
Italy,male,BMS,-1.833,1.833
Italy,male,HU,-1.843,1.843
Italy,male,DJT,-0.919,0.94
Italy,female,LC,-1.748,1.748
Italy,female,LM,-0.404,0.404
Italy,female,BMS,-0.673,0.673
Italy,female,HU,-1.498,1.498
Italy,female,DJT,-0.177,0.221
Norway,male,LC,-0.848,0.887
Norway,male,LM,-3.53,3.53
Norway,male,BMS,-1.805,1.805
Norway,male,HU,-1.249,1.285
Norway,male,DJT,-1.14,1.224
Norway,female,LC,-1.394,1.394
Norway,female,LM,-3.155,3.155
Norway,female,BMS,-1.574,1.574
Norway,female,HU,-0.448,0.515
Norway,female,DJT,-0.163,0.23
Sweden,male,LC,-1.236,1.236
Sweden,male,LM,-3.017,3.017
Sweden,male,BMS,-1.529,1.529
Sweden,male,HU,-1.643,1.643
Sweden,male,DJT,-1.04,1.102
Sweden,female,LC,-1.68,1.68
Sweden,female,LM,1.928,1.928
Sweden,female,BMS,0.227,0.228
Sweden,female,HU,-0.779,0.784
Sweden,female,DJT,0.419,0.419
Switzerland,male,LC,-0.891,0.891
Switzerland,male,LM,-2.945,2.945
Switzerland,male,BMS,-0.782,0.782
Switzerland,male,HU,-1.383,1.383
Switzerland,male,DJT,-0.277,0.471
Switzerland,female,LC,-1.473,1.473
Switzerland,female,LM,0.285,0.295
Switzerland,female,BMS,-0.052,0.133
Switzerland,female,HU,-0.97,0.97
Switzerland,female,DJT,0.355,0.355
