Country,Sex,Method,ME,MAE
Australia,male,LC,0.128,0.279
Australia,male,LM,0.092,0.17
Australia,male,BMS,0.169,0.28
Australia,male,HU,0.182,0.217
Australia,male,DJT,0.086,0.169
Australia,female,LC,0.044,0.244
Australia,female,LM,0.034,0.142
Australia,female,BMS,0.083,0.242
Australia,female,HU,0.144,0.183
Australia,female,DJT,0.034,0.137
Canada,male,LC,0.063,0.193
Canada,male,LM,0.044,0.111
Canada,male,BMS,0.088,0.19
Canada,male,HU,0.157,0.194
Canada,male,DJT,0.041,0.144
Canada,female,LC,-0.049,0.166
Canada,female,LM,-0.288,0.301
Canada,female,BMS,-0.06,0.103
Canada,female,HU,0.115,0.152
Canada,female,DJT,-0.05,0.128
Denmark,male,LC,0.046,0.191
Denmark,male,LM,0.375,0.462
Denmark,male,BMS,0.034,0.19
Denmark,male,HU,0.132,0.197
Denmark,male,DJT,0.107,0.193
Denmark,female,LC,0.047,0.261
Denmark,female,LM,-0.16,0.4
Denmark,female,BMS,0.071,0.257
Denmark,female,HU,0.161,0.26
Denmark,female,DJT,0.072,0.256
England,male,LC,0.021,0.265
England,male,LM,0.028,0.141
England,male,BMS,0.012,0.115
England,male,HU,0.133,0.19
England,male,DJT,0.025,0.168
England,female,LC,-0.03,0.171
England,female,LM,-0.014,0.118
England,female,BMS,0.028,0.107
England,female,HU,0.134,0.163
England,female,DJT,-0.019,0.142
Finland,male,LC,0.068,0.302
Finland,male,LM,0.015,0.208
Finland,male,BMS,-0.004,0.183
Finland,male,HU,0.125,0.224
Finland,male,DJT,-0.011,0.201
Finland,female,LC,-0.078,0.374
Finland,female,LM,-0.157,0.29
Finland,female,BMS,-0.145,0.266
Finland,female,HU,0.04,0.231
Finland,female,DJT,-0.153,0.276
France,male,LC,0.067,0.294
France,male,LM,0.08,0.128
France,male,BMS,0.049,0.12
France,male,HU,0.184,0.209
France,male,DJT,0.085,0.149
France,female,LC,0.024,0.228
France,female,LM,0.013,0.103
France,female,BMS,0.014,0.098
France,female,HU,0.195,0.21
France,female,DJT,0.022,0.117
Italy,male,LC,0.016,0.278
Italy,male,LM,0.013,0.176
Italy,male,BMS,0.045,0.218
Italy,male,HU,0.148,0.227
Italy,male,DJT,0.017,0.212
Italy,female,LC,-0.028,0.236
Italy,female,LM,-0.061,0.155
Italy,female,BMS,-0.042,0.162
Italy,female,HU,0.145,0.196
Italy,female,DJT,-0.058,0.172
Norway,male,LC,0.048,0.226
Norway,male,LM,0.35,0.383
Norway,male,BMS,0.125,0.227
Norway,male,HU,0.139,0.218
Norway,male,DJT,0.082,0.21
Norway,female,LC,0.058,0.351
Norway,female,LM,0.403,0.463
Norway,female,BMS,0.098,0.346
Norway,female,HU,0.071,0.282
Norway,female,DJT,-0.089,0.355
Sweden,male,LC,0.032,0.196
Sweden,male,LM,0.32,0.354
Sweden,male,BMS,0.099,0.203
Sweden,male,HU,0.179,0.238
Sweden,male,DJT,0.084,0.206
Sweden,female,LC,0.012,0.276
Sweden,female,LM,-0.241,0.339
Sweden,female,BMS,-0.004,0.169
Sweden,female,HU,0.136,0.22
Sweden,female,DJT,-0.013,0.185
Switzerland,male,LC,0.0,0.236
Switzerland,male,LM,0.259,0.315
Switzerland,male,BMS,-0.01,0.219
Switzerland,male,HU,0.14,0.217
Switzerland,male,DJT,0.023,0.174
Switzerland,female,LC,-0.015,0.307
Switzerland,female,LM,-0.015,0.206
Switzerland,female,BMS,0.002,0.184
Switzerland,female,HU,0.141,0.213
Switzerland,female,DJT,-0.022,0.174
